date	age_group	onsets
2020-07-08	0-14	7
2020-07-08	15-59	60
2020-07-08	60-79	11
2020-07-09	0-14	11
2020-07-09	15-59	50
2020-07-09	60-79	8
2020-07-09	80+	2
2020-07-10	0-14	11
2020-07-10	15-59	61
2020-07-10	60-79	9
2020-07-10	80+	3
2020-07-11	0-14	16
2020-07-11	15-59	54
2020-07-11	60-79	8
2020-07-11	80+	3
2020-07-12	0-14	9
2020-07-12	15-59	66
2020-07-12	60-79	6
2020-07-12	80+	2
2020-07-13	0-14	12
2020-07-13	15-59	86
2020-07-13	60-79	6
2020-07-13	80+	2
2020-07-13	NA	2
2020-07-14	0-14	8
2020-07-14	15-59	58
2020-07-14	60-79	5
2020-07-14	80+	2
2020-07-15	0-14	15
2020-07-15	15-59	66
2020-07-15	60-79	7
2020-07-15	80+	5
2020-07-16	0-14	7
2020-07-16	15-59	74
2020-07-16	60-79	6
2020-07-16	80+	1
2020-07-17	0-14	11
2020-07-17	15-59	66
2020-07-17	60-79	5
2020-07-17	80+	3
2020-07-17	NA	1
2020-07-18	0-14	6
2020-07-18	15-59	71
2020-07-18	60-79	10
2020-07-18	80+	2
2020-07-19	0-14	19
2020-07-19	15-59	75
2020-07-19	60-79	4
2020-07-19	80+	3
2020-07-19	NA	2
2020-07-20	0-14	14
2020-07-20	15-59	89
2020-07-20	60-79	7
2020-07-20	80+	4
2020-07-21	0-14	10
2020-07-21	15-59	86
2020-07-21	60-79	9
2020-07-21	80+	1
2020-07-21	NA	1
2020-07-22	0-14	10
2020-07-22	15-59	99
2020-07-22	60-79	9
2020-07-22	80+	1
2020-07-23	0-14	12
2020-07-23	15-59	109
2020-07-23	60-79	7
2020-07-23	80+	5
2020-07-24	0-14	11
2020-07-24	15-59	88
2020-07-24	60-79	10
2020-07-24	80+	1
2020-07-25	0-14	10
2020-07-25	15-59	99
2020-07-25	60-79	4
2020-07-25	80+	1
2020-07-25	NA	1
2020-07-26	0-14	6
2020-07-26	15-59	76
